#       k1      psm01f
#
0.013713151 17089.152
0.0138721 17103.045
0.014032889 17114.641
0.014195548 17123.916
0.014360089 17130.814
0.014526539 17135.307
0.014694918 17137.34
0.01486525 17136.887
0.01503755 17133.898
0.01521186 17128.348
0.01538818 17120.203
0.01556654 17109.43
0.015746979 17096.008
0.0159295 17079.895
0.01611414 17061.072
0.01630092 17039.518
0.016489871 17015.205
0.01668101 16988.137
0.01687436 16958.287
0.017069951 16925.664
0.01726781 16890.236
0.017467961 16852.008
0.017670441 16810.977
0.01787526 16767.17
0.018082451 16720.582
0.018292049 16671.248
0.018504068 16619.168
0.01871855 16564.371
0.01893552 16506.875
0.019155011 16446.711
0.01937703 16383.936
0.01960163 16318.578
0.019828841 16250.698
0.020058682 16180.339
0.020291181 16107.541
0.020526383 16032.366
0.020764301 15954.89
0.02100498 15875.173
0.021248449 15793.282
0.021494752 15709.279
0.021743888 15623.275
0.021995928 15535.312
0.022250893 15445.477
0.0225088 15353.849
0.022769701 15260.526
0.02303363 15165.574
0.02330061 15069.098
0.02357069 14971.171
0.023843896 14871.877
0.024120282 14771.315
0.024399862 14669.557
0.024682682 14566.689
0.024968781 14462.797
0.0252582 14357.956
0.025550969 14252.258
0.025847139 14145.784
0.026146732 14038.611
0.0264498 13930.797
0.026756382 13822.414
0.027066521 13713.54
0.02738025 13604.232
0.027697621 13494.57
0.028018668 13384.604
0.02834343 13274.404
0.028671956 13164.004
0.029004302 13053.451
0.0293405 12942.803
0.029680591 12832.114
0.030024622 12721.429
0.030372642 12610.782
0.030724693 12500.208
0.031080818 12389.735
0.031441078 12279.395
0.031805519 12169.216
0.032174181 12059.227
0.03254712 11949.47
0.032924369 11839.95
0.033305999 11730.688
0.033692058 11621.692
0.034082592 11512.996
0.03447764 11404.599
0.03487727 11296.532
0.035281539 11188.794
0.03569049 11081.411
0.036104191 10974.366
0.036522672 10867.686
0.03694601 10761.373
0.037374262 10655.435
0.037807468 10549.878
0.0382457 10444.708
0.038689006 10339.929
0.03913746 10235.544
0.0395911 10131.554
0.040050011 10027.97
0.040514231 9924.791
0.040983841 9822.0215
0.041458882 9719.6572
0.041939434 9617.7119
0.042425562 9516.1836
0.042917319 9415.0723
0.043414783 9314.3848
0.043918014 9214.1162
0.044427071 9114.2744
0.044942033 9014.8662
0.045462947 8915.8945
0.045989919 8817.3555
0.046522997 8719.2529
0.047062244 8621.6006
0.047607746 8524.3887
0.048159584 8427.627
0.048717804 8331.3193
0.049282499 8235.4727
0.049853731 8140.0923
0.050431591 8045.1709
0.051016144 7950.7246
0.05160749 7856.749
0.052205682 7763.2568
0.052810799 7670.2485
0.053422928 7577.7349
0.054042164 7485.7114
0.054668576 7394.1919
0.05530224 7303.1787
0.055943266 7212.6787
0.056591701 7122.6938
0.057247661 7033.2354
0.057911228 6944.3057
0.058582481 6855.9092
0.059261523 6768.0537
0.059948433 6680.7441
0.060643293 6593.9858
0.061346222 6507.7852
0.06205729 6422.1479
0.062776595 6337.0811
0.063504249 6252.5889
0.064240344 6168.6797
0.064984947 6085.355
0.065738201 6002.625
0.066500179 5920.4917
0.067270987 5838.96
0.068050742 5758.0381
0.06883952 5677.73
0.069637448 5598.041
0.070444621 5518.9741
0.071261145 5440.5366
0.072087146 5362.7319
0.072922714 5285.564
0.07376799 5209.0386
0.074623026 5133.1621
0.075487994 5057.9355
0.076362982 4983.3633
0.077248111 4909.4487
0.078143515 4836.1934
