#           k/h    P           
    0.34112E+02    0.90009E-02
    0.34801E+02    0.85275E-02
    0.35504E+02    0.80788E-02
    0.36222E+02    0.76535E-02
    0.36953E+02    0.72505E-02
    0.37700E+02    0.68684E-02
    0.38462E+02    0.65064E-02
    0.39239E+02    0.61633E-02
    0.40031E+02    0.58381E-02
    0.40840E+02    0.55300E-02
    0.41665E+02    0.52379E-02
    0.42507E+02    0.49612E-02
    0.43365E+02    0.46990E-02
    0.44241E+02    0.44505E-02
    0.45135E+02    0.42151E-02
    0.46047E+02    0.39920E-02
    0.46977E+02    0.37806E-02
    0.47926E+02    0.35804E-02
    0.48894E+02    0.33906E-02
    0.49882E+02    0.32109E-02
    0.50890E+02    0.30405E-02
    0.51918E+02    0.28792E-02
    0.52966E+02    0.27263E-02
    0.54036E+02    0.25815E-02
    0.55128E+02    0.24443E-02
    0.56242E+02    0.23144E-02
    0.57378E+02    0.21913E-02
    0.58537E+02    0.20747E-02
    0.59720E+02    0.19642E-02
    0.60926E+02    0.18596E-02
    0.62157E+02    0.17605E-02
    0.63412E+02    0.16666E-02
    0.64693E+02    0.15777E-02
    0.66000E+02    0.14935E-02
    0.67334E+02    0.14137E-02
    0.68694E+02    0.13382E-02
    0.70082E+02    0.12667E-02
    0.71497E+02    0.11989E-02
    0.72942E+02    0.11348E-02
    0.74415E+02    0.10740E-02
    0.75918E+02    0.10165E-02
    0.77452E+02    0.96203E-03
    0.79017E+02    0.91045E-03
    0.80613E+02    0.86160E-03
    0.82241E+02    0.81535E-03
    0.83903E+02    0.77155E-03
    0.85598E+02    0.73009E-03
    0.87327E+02    0.69083E-03
    0.89091E+02    0.65366E-03
    0.90891E+02    0.61846E-03
    0.92727E+02    0.58514E-03
    0.94600E+02    0.55360E-03
    0.96511E+02    0.52374E-03
    0.98461E+02    0.49547E-03
    0.10045E+03    0.46871E-03
